cell_id,tsne_1,tsne_2,true_label,predicted_label,hungarian_annotation,marker_overlap_annotation,batch
human2_lib2.final_cell_0143-1,1.2492201,-22.078533,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0144-1,-91.4681,11.604223,macrophage,6,macrophage,macrophage,human2
human2_lib2.final_cell_0145-1,-19.768147,-12.1491585,activated_stellate,10,activated_stellate,activated_stellate,human2
human2_lib2.final_cell_0146-1,-45.596275,55.710747,ductal,1,acinar,acinar,human2
human2_lib2.final_cell_0147-1,31.131468,9.571611,beta,12,beta,beta,human2
human2_lib2.final_cell_0148-1,9.221572,-2.5028298,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0149-1,-10.3174925,25.239109,delta,8,delta,delta,human2
human2_lib2.final_cell_0150-1,-91.67106,10.824677,macrophage,6,macrophage,macrophage,human2
human2_lib2.final_cell_0151-1,-5.3916574,31.055325,delta,8,delta,delta,human2
human2_lib2.final_cell_0152-1,-5.0938253,-12.444769,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0153-1,-40.79378,57.094788,ductal,1,acinar,acinar,human2
human2_lib2.final_cell_0154-1,-41.472614,62.277504,acinar,1,acinar,acinar,human2
human2_lib2.final_cell_0155-1,-10.0510845,16.501148,delta,8,delta,delta,human2
human2_lib2.final_cell_0156-1,9.566145,-17.575132,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0157-1,-41.27306,61.945698,ductal,1,acinar,acinar,human2
human2_lib2.final_cell_0158-1,-79.61607,-20.613224,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0159-1,-3.4828587,-34.82706,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0160-1,35.72571,55.60308,beta,12,beta,beta,human2
human2_lib2.final_cell_0161-1,-64.43862,-18.983751,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0162-1,-42.56302,52.163364,ductal,1,acinar,acinar,human2
human2_lib2.final_cell_0163-1,9.074887,-17.781567,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0164-1,12.344371,-6.71825,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0165-1,56.93405,46.654835,delta,15,epsilon,quiescent_stellate,human2
human2_lib2.final_cell_0166-1,11.5757675,24.967892,delta,8,delta,delta,human2
human2_lib2.final_cell_0167-1,-0.46746376,-26.792347,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0168-1,-1.9555705,-30.386332,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0169-1,-42.063118,62.049088,ductal,1,acinar,acinar,human2
human2_lib2.final_cell_0170-1,-2.2059996,-17.512787,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0171-1,0.2107603,-10.915693,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0172-1,11.121741,25.830898,delta,8,delta,delta,human2
human2_lib2.final_cell_0173-1,13.986186,-50.131283,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0174-1,32.984406,29.660702,beta,12,beta,beta,human2
human2_lib2.final_cell_0175-1,33.83928,32.727936,beta,12,beta,beta,human2
human2_lib2.final_cell_0176-1,0.39634126,-28.86019,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0177-1,-70.65283,-21.438976,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0178-1,-2.207814,19.410898,delta,8,delta,delta,human2
human2_lib2.final_cell_0179-1,3.158809,-5.040615,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0180-1,-22.081936,-12.723473,activated_stellate,10,activated_stellate,activated_stellate,human2
human2_lib2.final_cell_0181-1,7.203413,28.299631,delta,8,delta,delta,human2
human2_lib2.final_cell_0182-1,38.074665,29.469881,beta,12,beta,beta,human2
human2_lib2.final_cell_0183-1,-40.15816,-72.4207,gamma,7,gamma,gamma,human2
human2_lib2.final_cell_0184-1,6.8079925,27.221725,delta,8,delta,delta,human2
human2_lib2.final_cell_0185-1,-37.044838,-65.17244,gamma,7,gamma,gamma,human2
human2_lib2.final_cell_0186-1,45.670437,-1.019422,beta,12,beta,beta,human2
human2_lib2.final_cell_0187-1,-65.77724,-20.164455,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0188-1,-4.2137313,-9.639823,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0189-1,-79.98644,-18.383171,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0190-1,11.583356,-15.1625185,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0191-1,-70.61934,-12.178791,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0192-1,34.454746,59.812695,beta,12,beta,beta,human2
human2_lib2.final_cell_0193-1,-70.59382,-21.94375,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0194-1,-5.040341,-11.659032,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0195-1,33.39269,26.73541,beta,12,beta,beta,human2
human2_lib2.final_cell_0196-1,31.839443,19.99997,beta,12,beta,beta,human2
human2_lib2.final_cell_0197-1,-42.27684,61.880974,ductal,1,acinar,acinar,human2
human2_lib2.final_cell_0198-1,35.589546,-7.2700267,beta,12,beta,beta,human2
human2_lib2.final_cell_0199-1,10.260594,-11.476215,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0200-1,-63.23432,-21.152683,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0201-1,-24.901583,-10.871469,activated_stellate,10,activated_stellate,activated_stellate,human2
human2_lib2.final_cell_0202-1,13.227502,-5.7558846,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0203-1,33.76054,51.61694,beta,12,beta,beta,human2
human2_lib2.final_cell_0204-1,40.19112,29.170948,beta,12,beta,beta,human2
human2_lib2.final_cell_0205-1,-81.43558,-18.999807,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0206-1,-3.7741342,-7.556972,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0207-1,-61.283222,-20.749435,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0208-1,-1.1574056,-17.018724,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0209-1,-4.844773,-25.201511,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0210-1,11.610635,-12.915171,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0211-1,-2.3111153,-7.634548,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0212-1,-2.115639,-7.640131,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0213-1,37.931232,43.25612,beta,12,beta,beta,human2
human2_lib2.final_cell_0214-1,-51.75993,0.89560413,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0215-1,0.02095789,-45.790577,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0216-1,5.4735336,-26.561838,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0217-1,3.030248,-6.623483,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0218-1,-74.265594,-12.327645,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0219-1,35.82009,61.16557,beta,12,beta,beta,human2
human2_lib2.final_cell_0220-1,-80.01977,-20.239109,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0221-1,-23.10196,-12.313455,activated_stellate,10,activated_stellate,activated_stellate,human2
human2_lib2.final_cell_0222-1,12.479884,-6.8520555,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0223-1,35.243355,38.764805,beta,12,beta,beta,human2
human2_lib2.final_cell_0224-1,13.084567,-5.570605,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0225-1,7.6036353,-4.566003,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0226-1,-60.14822,3.5898867,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0227-1,-38.23754,-34.775322,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0228-1,-1.7829639,-16.861038,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0229-1,43.930275,-9.157286,beta,12,beta,beta,human2
human2_lib2.final_cell_0230-1,41.078335,-14.595165,beta,12,beta,beta,human2
human2_lib2.final_cell_0231-1,37.11522,32.250824,beta,12,beta,beta,human2
human2_lib2.final_cell_0232-1,32.95919,38.07309,beta,12,beta,beta,human2
human2_lib2.final_cell_0233-1,-43.553978,52.365788,ductal,1,acinar,acinar,human2
human2_lib2.final_cell_0234-1,-92.06598,10.486054,macrophage,6,macrophage,macrophage,human2
human2_lib2.final_cell_0235-1,8.718144,-16.961214,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0236-1,-42.34337,62.147057,ductal,1,acinar,acinar,human2
human2_lib2.final_cell_0237-1,6.5121684,-6.4322844,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0238-1,27.845016,4.922811,beta,12,beta,beta,human2
human2_lib2.final_cell_0239-1,43.378117,-16.232592,beta,12,beta,beta,human2
human2_lib2.final_cell_0240-1,-71.26122,-18.647545,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0241-1,28.016037,2.6164148,beta,12,beta,beta,human2
human2_lib2.final_cell_0242-1,2.4616106,21.456282,delta,8,delta,delta,human2
human2_lib2.final_cell_0243-1,-26.291517,24.676489,quiescent_stellate,14,Unmatched_14,quiescent_stellate,human2
human2_lib2.final_cell_0244-1,2.690094,-5.837418,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0245-1,7.4475617,-16.508846,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0246-1,43.73129,67.61213,beta,12,beta,beta,human2
human2_lib2.final_cell_0247-1,-66.54211,-21.412079,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0248-1,36.669765,35.142056,beta,12,beta,beta,human2
human2_lib2.final_cell_0249-1,13.029881,-5.1568403,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0250-1,39.995514,29.339935,beta,12,beta,beta,human2
human2_lib2.final_cell_0251-1,7.134534,-14.746694,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0252-1,35.366432,36.822132,beta,12,beta,beta,human2
human2_lib2.final_cell_0253-1,47.531273,-15.741815,beta,12,beta,beta,human2
human2_lib2.final_cell_0254-1,33.79182,36.92718,beta,12,beta,beta,human2
human2_lib2.final_cell_0255-1,33.564503,37.593735,beta,12,beta,beta,human2
human2_lib2.final_cell_0256-1,2.3534625,-11.110896,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0257-1,1.3316138,-21.017054,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0258-1,33.86592,26.252127,beta,12,beta,beta,human2
human2_lib2.final_cell_0259-1,6.9678855,-21.653458,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0260-1,-2.6487565,28.157127,delta,8,delta,delta,human2
human2_lib2.final_cell_0261-1,7.8460984,-12.063132,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0262-1,59.025307,-13.459965,beta,12,beta,beta,human2
human2_lib2.final_cell_0263-1,-26.617937,7.998793,schwann,9,schwann,schwann,human2
human2_lib2.final_cell_0264-1,31.679813,-1.0597587,beta,12,beta,beta,human2
human2_lib2.final_cell_0265-1,34.4483,60.15176,beta,12,beta,beta,human2
human2_lib2.final_cell_0266-1,-2.2297642,-30.34578,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0267-1,8.191684,-3.6573043,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0268-1,7.024919,-6.340712,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0269-1,29.71469,19.782366,beta,12,beta,beta,human2
human2_lib2.final_cell_0270-1,-3.2551374,-6.451222,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0271-1,49.275723,-14.440699,beta,12,beta,beta,human2
human2_lib2.final_cell_0272-1,-71.65009,-16.5483,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0273-1,-51.67252,-3.1394718,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0274-1,-39.585243,-65.84832,gamma,7,gamma,gamma,human2
human2_lib2.final_cell_0275-1,35.78167,45.03686,beta,12,beta,beta,human2
human2_lib2.final_cell_0276-1,12.491375,-2.255424,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0277-1,-63.747814,-15.806919,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0278-1,38.594994,34.294704,beta,12,beta,beta,human2
human2_lib2.final_cell_0279-1,-52.64574,3.0163214,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0280-1,-65.29613,-21.560383,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0281-1,10.272771,-20.23232,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0282-1,-21.907116,-13.362018,activated_stellate,10,activated_stellate,activated_stellate,human2
human2_lib2.final_cell_0283-1,5.1982737,22.66212,delta,8,delta,delta,human2
human2_lib2.final_cell_0284-1,36.39672,34.547276,beta,12,beta,beta,human2
human2_lib2.final_cell_0285-1,37.246086,55.611973,beta,12,beta,beta,human2
human2_lib2.final_cell_0286-1,36.178474,36.18083,beta,12,beta,beta,human2
human2_lib2.final_cell_0287-1,2.7443979,-16.414188,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0288-1,-4.3795257,-9.053957,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0289-1,11.218138,-2.4708393,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0290-1,-25.892324,-10.872856,activated_stellate,10,activated_stellate,activated_stellate,human2
human2_lib2.final_cell_0291-1,6.9861693,-6.052897,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0292-1,12.766739,-48.795948,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0293-1,5.69503,-15.413287,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0294-1,12.880723,-4.221429,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0295-1,10.734499,-10.293807,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0296-1,1.7268547,22.822655,delta,8,delta,delta,human2
human2_lib2.final_cell_0297-1,11.962536,-15.715836,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0298-1,-38.542538,-69.64161,gamma,7,gamma,gamma,human2
human2_lib2.final_cell_0299-1,2.0528998,-26.575253,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0300-1,7.101127,-13.091256,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0301-1,0.55255336,7.7378526,gamma,8,delta,delta,human2
human2_lib2.final_cell_0302-1,10.686201,-10.232442,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0303-1,2.8932245,-31.74288,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0304-1,11.511902,-2.882128,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0305-1,14.455685,-17.243069,alpha,15,epsilon,quiescent_stellate,human2
human2_lib2.final_cell_0306-1,-70.52603,-21.714127,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0307-1,7.1749763,-16.244724,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0308-1,-23.044909,-11.829161,activated_stellate,10,activated_stellate,activated_stellate,human2
human2_lib2.final_cell_0309-1,11.75906,-18.7773,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0310-1,-0.72951,20.063995,delta,8,delta,delta,human2
human2_lib2.final_cell_0311-1,11.367007,-2.2784956,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0312-1,12.500313,-7.796055,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0313-1,13.042398,-5.4591913,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0314-1,-59.02804,6.186978,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0315-1,-9.289864,24.31477,delta,8,delta,delta,human2
human2_lib2.final_cell_0316-1,8.879713,-10.706378,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0317-1,4.029462,-29.28566,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0318-1,2.9421268,-24.988441,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0319-1,10.318076,-19.185299,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0320-1,30.321379,17.361147,beta,12,beta,beta,human2
human2_lib2.final_cell_0321-1,40.066322,66.25304,beta,12,beta,beta,human2
human2_lib2.final_cell_0322-1,11.813464,-16.087942,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0323-1,-24.70185,-12.540349,activated_stellate,10,activated_stellate,activated_stellate,human2
human2_lib2.final_cell_0324-1,4.1635027,-26.68626,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0325-1,36.83664,43.037586,beta,12,beta,beta,human2
human2_lib2.final_cell_0326-1,11.718442,-13.259836,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0327-1,36.624172,-1.8428285,beta,12,beta,beta,human2
human2_lib2.final_cell_0328-1,41.97965,37.64813,beta,12,beta,beta,human2
human2_lib2.final_cell_0329-1,-4.9130735,-12.343174,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0330-1,12.350713,-16.258785,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0331-1,-21.925777,-13.338248,activated_stellate,10,activated_stellate,activated_stellate,human2
human2_lib2.final_cell_0332-1,33.069206,59.525684,beta,12,beta,beta,human2
human2_lib2.final_cell_0333-1,-3.197153,-19.46889,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0334-1,45.50517,71.26695,beta,12,beta,beta,human2
human2_lib2.final_cell_0335-1,-6.0496116,25.076271,delta,8,delta,delta,human2
human2_lib2.final_cell_0336-1,56.42772,45.257946,beta,15,epsilon,quiescent_stellate,human2
human2_lib2.final_cell_0337-1,2.9272778,-12.548529,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0338-1,29.508493,-3.690442,beta,12,beta,beta,human2
human2_lib2.final_cell_0339-1,-41.269608,-72.41777,gamma,7,gamma,gamma,human2
human2_lib2.final_cell_0340-1,11.889403,-1.8167843,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0341-1,-6.5126405,-17.945963,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0342-1,5.3287225,-16.8387,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0343-1,43.481625,71.173325,beta,12,beta,beta,human2
human2_lib2.final_cell_0344-1,43.92134,26.056295,beta,12,beta,beta,human2
human2_lib2.final_cell_0345-1,32.697075,16.472214,beta,12,beta,beta,human2
human2_lib2.final_cell_0346-1,-22.645565,-10.9253845,activated_stellate,10,activated_stellate,activated_stellate,human2
human2_lib2.final_cell_0347-1,-57.927055,22.218115,endothelial,0,endothelial,endothelial,human2
human2_lib2.final_cell_0348-1,-90.54979,10.956245,macrophage,6,macrophage,macrophage,human2
human2_lib2.final_cell_0349-1,8.221487,-1.3444875,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0350-1,2.7655544,-15.545783,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0351-1,-38.771324,-67.03266,gamma,7,gamma,gamma,human2
human2_lib2.final_cell_0352-1,1.0941455,-11.290305,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0353-1,-62.277794,21.678328,endothelial,0,endothelial,endothelial,human2
human2_lib2.final_cell_0354-1,-2.503425,-20.669785,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0355-1,2.181104,-16.462704,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0356-1,2.14201,-7.58218,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0357-1,34.63888,50.72821,beta,12,beta,beta,human2
human2_lib2.final_cell_0358-1,-30.956043,23.953178,quiescent_stellate,13,quiescent_stellate,quiescent_stellate,human2
human2_lib2.final_cell_0359-1,43.869133,-10.70771,beta,12,beta,beta,human2
human2_lib2.final_cell_0360-1,-0.77547425,-34.080406,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0361-1,-71.476234,-11.584984,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0362-1,-51.883995,0.73295194,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0363-1,4.8842173,-5.4830914,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0364-1,-25.014423,-45.412743,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0365-1,-62.11231,-19.843744,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0366-1,42.632496,59.998466,beta,12,beta,beta,human2
human2_lib2.final_cell_0367-1,5.191614,-4.513316,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0368-1,1.8172438,-11.473176,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0369-1,-82.256,-15.425409,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0370-1,45.38687,47.420364,beta,12,beta,beta,human2
human2_lib2.final_cell_0371-1,-55.172527,24.498129,endothelial,0,endothelial,endothelial,human2
human2_lib2.final_cell_0372-1,2.9094498,-3.257538,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0373-1,7.2677903,-6.07405,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0374-1,-3.4372988,-7.7185845,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0375-1,-18.884327,-11.1220045,activated_stellate,10,activated_stellate,activated_stellate,human2
human2_lib2.final_cell_0376-1,61.774593,-11.842658,ductal,15,epsilon,quiescent_stellate,human2
human2_lib2.final_cell_0377-1,2.3987122,-16.623014,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0378-1,-45.65824,-60.938953,gamma,7,gamma,gamma,human2
human2_lib2.final_cell_0379-1,3.472417,-5.1180825,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0380-1,11.152931,-8.7365,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0381-1,-72.643845,-19.507877,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0382-1,-26.293427,25.304552,quiescent_stellate,14,Unmatched_14,quiescent_stellate,human2
human2_lib2.final_cell_0383-1,-44.905983,60.384308,ductal,1,acinar,acinar,human2
human2_lib2.final_cell_0384-1,-44.30136,54.4943,ductal,1,acinar,acinar,human2
human2_lib2.final_cell_0385-1,6.6990657,-6.356566,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0386-1,-20.002918,-12.198465,activated_stellate,10,activated_stellate,activated_stellate,human2
human2_lib2.final_cell_0387-1,-41.256943,-71.923035,gamma,7,gamma,gamma,human2
human2_lib2.final_cell_0388-1,-70.863434,-19.011398,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0389-1,-50.58552,28.217974,endothelial,0,endothelial,endothelial,human2
human2_lib2.final_cell_0390-1,0.7979397,-28.595644,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0391-1,-44.676212,55.008595,ductal,1,acinar,acinar,human2
human2_lib2.final_cell_0392-1,32.636612,38.990463,beta,12,beta,beta,human2
human2_lib2.final_cell_0393-1,-79.93658,-14.236,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0394-1,-90.1388,12.537964,macrophage,6,macrophage,macrophage,human2
human2_lib2.final_cell_0395-1,8.89464,-22.21839,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0396-1,-4.592099,-11.868474,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0397-1,33.064472,4.051088,beta,12,beta,beta,human2
human2_lib2.final_cell_0398-1,33.401806,18.704432,beta,12,beta,beta,human2
human2_lib2.final_cell_0399-1,35.818356,46.820866,beta,12,beta,beta,human2
human2_lib2.final_cell_0400-1,-6.070927,-25.467945,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0401-1,-23.61219,-10.14147,activated_stellate,10,activated_stellate,activated_stellate,human2
human2_lib2.final_cell_0402-1,8.254109,-23.826477,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0403-1,-42.96472,49.892178,ductal,1,acinar,acinar,human2
human2_lib2.final_cell_0404-1,10.566935,-2.410574,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0405-1,8.188004,-10.58879,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0406-1,4.291373,-11.5662,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0407-1,11.105867,-18.462646,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0408-1,-36.61913,-71.276955,gamma,7,gamma,gamma,human2
human2_lib2.final_cell_0409-1,34.954224,36.01463,beta,12,beta,beta,human2
human2_lib2.final_cell_0410-1,-71.31665,-11.451465,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0411-1,38.521507,36.21143,beta,12,beta,beta,human2
human2_lib2.final_cell_0412-1,2.1549141,-31.952974,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0413-1,42.14601,28.730787,beta,12,beta,beta,human2
human2_lib2.final_cell_0414-1,-3.527918,-35.872322,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0415-1,-3.9592912,-20.684713,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0416-1,32.27492,6.3367333,beta,12,beta,beta,human2
human2_lib2.final_cell_0417-1,-2.4613895,-37.090614,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0418-1,10.632713,-18.6037,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0419-1,-38.064274,-72.74341,gamma,7,gamma,gamma,human2
human2_lib2.final_cell_0420-1,-65.914055,-20.32186,ductal,3,ductal,ductal,human2
human2_lib2.final_cell_0421-1,37.387745,21.415998,beta,12,beta,beta,human2
human2_lib2.final_cell_0422-1,7.73106,-10.623016,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0423-1,-1.4050039,-29.9065,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0424-1,-1.2939286,-47.45784,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0425-1,2.857503,-10.9700365,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0426-1,-41.5581,-63.60787,gamma,7,gamma,gamma,human2
human2_lib2.final_cell_0427-1,4.0968714,24.06448,delta,8,delta,delta,human2
human2_lib2.final_cell_0428-1,10.093285,-2.104556,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0429-1,-23.635218,-12.15457,activated_stellate,10,activated_stellate,activated_stellate,human2
human2_lib2.final_cell_0430-1,-89.60241,13.8321295,macrophage,6,macrophage,macrophage,human2
human2_lib2.final_cell_0431-1,30.46973,19.736366,beta,12,beta,beta,human2
human2_lib2.final_cell_0432-1,33.59838,32.586468,beta,12,beta,beta,human2
human2_lib2.final_cell_0433-1,-3.5147793,-7.9802036,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0434-1,0.5084578,7.8156586,gamma,8,delta,delta,human2
human2_lib2.final_cell_0435-1,33.507298,11.490485,beta,12,beta,beta,human2
human2_lib2.final_cell_0436-1,11.507429,-15.583741,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0437-1,1.5574058,-26.420195,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0438-1,-43.357635,59.97271,ductal,1,acinar,acinar,human2
human2_lib2.final_cell_0439-1,31.63731,5.7234535,beta,12,beta,beta,human2
human2_lib2.final_cell_0440-1,44.32735,25.89791,beta,12,beta,beta,human2
human2_lib2.final_cell_0441-1,1.844588,-20.820873,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0442-1,1.8743498,-16.410362,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0443-1,-46.281033,52.800926,ductal,1,acinar,acinar,human2
human2_lib2.final_cell_0444-1,-35.058544,-27.296453,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0445-1,8.998885,-0.6380541,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0446-1,2.7955,-11.123829,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0447-1,11.721555,-13.598946,alpha,11,alpha,alpha,human2
human2_lib2.final_cell_0448-1,-20.92543,-12.5035515,activated_stellate,10,activated_stellate,activated_stellate,human2
human2_lib2.final_cell_0449-1,-2.7201357,-20.70659,alpha,11,alpha,alpha,human2
